config,model,seed,fk_pass_rate,fk_pass_n,fk_avg
fast_1b_seed100,1b,100,58.0,29/50,6.7
fast_1b_seed1000,1b,1000,56.0,28/50,6.7
fast_1b_seed1111,1b,1111,62.0,31/50,6.4
fast_1b_seed123,1b,123,68.0,34/50,6.3
fast_1b_seed1337,1b,1337,74.0,37/50,6.1
fast_1b_seed200,1b,200,62.0,31/50,6.7
fast_1b_seed2024,1b,2024,64.0,32/50,6.6
fast_1b_seed2025,1b,2025,70.0,35/50,6.3
fast_1b_seed256,1b,256,64.0,32/50,6.5
fast_1b_seed300,1b,300,68.0,34/50,6.6
fast_1b_seed3141,1b,3141,60.0,30/50,6.4
fast_1b_seed31415,1b,31415,62.0,31/50,6.6
fast_1b_seed400,1b,400,64.0,32/50,6.7
fast_1b_seed42,1b,42,62.0,31/50,6.5
fast_1b_seed500,1b,500,60.0,30/50,6.6
fast_1b_seed512,1b,512,52.0,26/50,6.6
fast_1b_seed55555,1b,55555,78.0,39/50,6.1
fast_1b_seed600,1b,600,62.0,31/50,6.7
fast_1b_seed7,1b,7,58.0,29/50,6.3
fast_1b_seed700,1b,700,58.0,29/50,6.5
fast_1b_seed777,1b,777,58.0,29/50,6.8
fast_1b_seed800,1b,800,76.0,38/50,6.2
fast_1b_seed8888,1b,8888,62.0,31/50,6.6
fast_1b_seed900,1b,900,68.0,34/50,6.7
fast_1b_seed999,1b,999,60.0,30/50,6.6
fast_3b_seed100,3b,100,56.0,28/50,6.9
fast_3b_seed123,3b,123,54.0,27/50,6.9
fast_3b_seed1337,3b,1337,62.0,31/50,6.7
fast_3b_seed2024,3b,2024,50.0,25/50,6.9
fast_3b_seed2025,3b,2025,56.0,28/50,6.8
fast_3b_seed256,3b,256,60.0,30/50,6.8
fast_3b_seed3141,3b,3141,48.0,24/50,6.8
fast_3b_seed31415,3b,31415,48.0,24/50,6.8
fast_3b_seed42,3b,42,66.0,33/50,6.5
fast_3b_seed512,3b,512,62.0,31/50,6.8
fast_3b_seed55555,3b,55555,48.0,24/50,7.0
fast_3b_seed7,3b,7,44.0,22/50,7.1
fast_3b_seed777,3b,777,48.0,24/50,6.9
fast_3b_seed8888,3b,8888,48.0,24/50,6.9
fast_3b_seed999,3b,999,52.0,26/50,6.7
standard_1b_seed100,1b,100,44.0,22/50,7.0
standard_1b_seed1000,1b,1000,62.0,31/50,6.8
standard_1b_seed1111,1b,1111,46.0,23/50,7.2
standard_1b_seed123,1b,123,50.0,25/50,6.8
standard_1b_seed1337,1b,1337,58.0,29/50,7.0
standard_1b_seed200,1b,200,44.0,22/50,7.4
standard_1b_seed2024,1b,2024,40.0,20/50,7.3
standard_1b_seed2025,1b,2025,54.0,27/50,7.0
standard_1b_seed256,1b,256,50.0,25/50,7.0
standard_1b_seed300,1b,300,60.0,30/50,6.9
standard_1b_seed3141,1b,3141,58.0,29/50,6.8
standard_1b_seed31415,1b,31415,54.0,27/50,7.0
standard_1b_seed400,1b,400,46.0,23/50,7.1
standard_1b_seed42,1b,42,56.0,28/50,7.1
standard_1b_seed500,1b,500,58.0,29/50,6.8
standard_1b_seed512,1b,512,40.0,20/50,7.2
standard_1b_seed55555,1b,55555,56.0,28/50,6.9
standard_1b_seed600,1b,600,56.0,28/50,7.0
standard_1b_seed7,1b,7,56.0,28/50,7.0
standard_1b_seed700,1b,700,48.0,24/50,6.9
standard_1b_seed777,1b,777,58.0,29/50,6.8
standard_1b_seed800,1b,800,50.0,25/50,7.0
standard_1b_seed8888,1b,8888,48.0,24/50,7.1
standard_1b_seed900,1b,900,58.0,29/50,6.9
standard_1b_seed999,1b,999,52.0,26/50,7.0
standard_3b_seed100,3b,100,56.0,28/50,6.9
standard_3b_seed123,3b,123,62.0,31/50,6.8
standard_3b_seed1337,3b,1337,72.0,36/50,6.5
standard_3b_seed2024,3b,2024,58.0,29/50,6.9
standard_3b_seed2025,3b,2025,50.0,25/50,6.6
standard_3b_seed256,3b,256,52.0,26/50,7.0
standard_3b_seed3141,3b,3141,62.0,31/50,6.7
standard_3b_seed31415,3b,31415,56.0,28/50,6.8
standard_3b_seed42,3b,42,66.0,33/50,6.6
standard_3b_seed512,3b,512,58.0,29/50,6.6
standard_3b_seed55555,3b,55555,62.0,31/50,6.5
standard_3b_seed7,3b,7,56.0,28/50,6.8
standard_3b_seed777,3b,777,62.0,31/50,6.7
standard_3b_seed8888,3b,8888,46.0,23/50,7.0
standard_3b_seed999,3b,999,56.0,28/50,6.7
fast_3b_seed1000,3b,1000,54.0,27/50,6.8
fast_3b_seed1111,3b,1111,46.0,23/50,6.9
fast_3b_seed13370,3b,13370,50.0,25/50,6.7
fast_3b_seed200,3b,200,52.0,26/50,7.2
fast_3b_seed271828,3b,271828,42.0,21/50,7.3
fast_3b_seed300,3b,300,64.0,32/50,6.6
fast_3b_seed314159,3b,314159,50.0,25/50,6.9
fast_3b_seed400,3b,400,48.0,24/50,7.0
fast_3b_seed4242,3b,4242,52.0,26/50,6.9
fast_3b_seed500,3b,500,46.0,23/50,6.9
fast_3b_seed600,3b,600,62.0,31/50,6.8
fast_3b_seed65537,3b,65537,42.0,21/50,7.1
fast_3b_seed700,3b,700,48.0,24/50,6.9
fast_3b_seed800,3b,800,44.0,22/50,7.0
fast_3b_seed900,3b,900,64.0,32/50,6.7
standard_3b_seed1000,3b,1000,54.0,27/50,6.7
standard_3b_seed1111,3b,1111,56.0,28/50,6.6
standard_3b_seed13370,3b,13370,56.0,28/50,7.0
standard_3b_seed200,3b,200,48.0,24/50,7.0
standard_3b_seed271828,3b,271828,52.0,26/50,6.9
standard_3b_seed300,3b,300,66.0,33/50,6.6
standard_3b_seed314159,3b,314159,80.0,40/50,6.3
standard_3b_seed400,3b,400,54.0,27/50,6.8
standard_3b_seed4242,3b,4242,58.0,29/50,6.7
standard_3b_seed500,3b,500,60.0,30/50,6.9
standard_3b_seed600,3b,600,54.0,27/50,6.8
standard_3b_seed65537,3b,65537,64.0,32/50,6.6
standard_3b_seed700,3b,700,54.0,27/50,6.8
standard_3b_seed800,3b,800,60.0,30/50,6.6
standard_3b_seed900,3b,900,60.0,30/50,6.6
